Filename	Title	Year	Authors
2204.txt	Human Genome Project, rough draft, Chromosome Number 04	2000	Human Genome Project
2205.txt	Human Genome Project, rough draft, Chromosome Number 05	2000	Human Genome Project
2206.txt	Human Genome Project, rough draft, Chromosome Number 06	2000	Human Genome Project
2207.txt	Human Genome Project, rough draft, Chromosome Number 07	2000	Human Genome Project
2208.txt	Human Genome Project, rough draft, Chromosome Number 08	2000	Human Genome Project
2209.txt	Human Genome Project, rough draft, Chromosome Number 09	2000	Human Genome Project
221.txt	The Return of Sherlock Holmes	2008	Arthur Conan Doyle
2210.txt	Human Genome Project, rough draft, Chromosome Number 10	2000	Human Genome Project
2211.txt	Human Genome Project, rough draft, Chromosome Number 11	2000	Human Genome Project
2212.txt	Human Genome Project, rough draft, Chromosome Number 12	2000	Human Genome Project
2213.txt	Human Genome Project, rough draft, Chromosome Number 13	2000	Human Genome Project
2214.txt	Human Genome Project, rough draft, Chromosome Number 14	2000	Human Genome Project
2215.txt	Human Genome Project, rough draft, Chromosome Number 15	2000	Human Genome Project
2216.txt	Human Genome Project, rough draft, Chromosome Number 16	2000	Human Genome Project
2217.txt	Human Genome Project, rough draft, Chromosome Number 17	2000	Human Genome Project
2218.txt	Human Genome Project, rough draft, Chromosome Number 18	2000	Human Genome Project
2219.txt	Human Genome Project, rough draft, Chromosome Number 19	2000	Human Genome Project
222.txt	The Moon and Sixpence	2007	W. Somerset Maugham
2220.txt	Human Genome Project, rough draft, Chromosome Number 20	2000	Human Genome Project
223.txt	The Wisdom of Father Brown	1995	G. K. Chesterton
224.txt	A Pair of Blue Eyes	2008	Thomas Hardy
226.txt	Cicero's Orations	2008	Cicero
227.txt	The Aeneid	2008	Virgil
228.txt	The Aeneid	2008	Virgil
229.txt	The Bucolics and Eclogues	2008	Virgil
23.txt	The Narrative of the Life of Frederick Douglass	2006	Frederick Douglass
230.txt	The Bucolics and Eclogues	2008	Virgil
231.txt	The Georgics	2008	Virgil
232.txt	The Georgics	2008	Virgil
233.txt	Sister Carrie	1995	Theodore Dreiser
234.txt	Child Christopher	2008	William Morris
235.txt	William Gibson Interviewed	1995	Giuseppe Salza
236.txt	The Jungle Book	2006	Rudyard Kipling
237.txt	Sexti Properti Carmina	2008	Sextus Propertius
238.txt	Dear Enemy	2008	Jean Webster
239.txt	Radar Map of the United States	1995	United States
24.txt	O Pioneers!	1992	Willa Cather
240.txt	Stories From the Old Attic	1995	Robert Harris
241.txt	Clotelle	2008	William Wells Brown
242.txt	My Antonia	2008	Willa Cather
243.txt	The Forged Coupon and Other Stories	2006	Leo Tolstoy
244.txt	A Study In Scarlet	1995	Arthur Conan Doyle
246.txt	Rubaiyat of Omar Khayyam	1995	Omar Khayyam
249.txt	French Cave Paintings	1995	Jean Clottes
25.txt	The 1991 CIA World Factbook	1992	United States.  Central Intelligence Agency.
250.txt	A Brief History of the Internet	1995	Michael Hart
251.txt	1995 United States Congressional Address Book	1995	United States
252.txt	Copyright Law of the United States of America:	2008	Library of Congress Copyright Office
253.txt	The Universal Copyright Convention (1988)	2008	Coalition for Networked Information
254.txt	The Second Story of Meno	2008	Unknown
255.txt	QREAD, an Etext Viewer for Windows	1995	Dan Scavelle
256.txt	Motion Picture of Rotating Earth	1995	United States
257.txt	Troilus and Criseyde	1995	Geoffrey Chaucer
258.txt	Poems	2008	Adam Lindsay Gordon
259.txt	Ballads of a Cheechako	2008	Robert W. Service
26.txt	Paradise Lost	1992	John Milton
260.txt	Introduction to Robert Browning	2008	Hiram Corson
261.txt	A Dome of Many-Coloured Glass	2008	Amy Lowell
262.txt	The Collected Poems of Rupert Brooke	1995	Rupert Brooke
263.txt	Trees and Other Poems	1995	Joyce Kilmer
264.txt	Main Street and Other Poems	2008	Alfred Joyce Kilmer
265.txt	The Life and Death of Cormac the Skald	2008	Unknown
266.txt	Confessio Amantis	2008	John Gower
267.txt	The Touchstone	2008	Edith Wharton
268.txt	The Octopus	2008	Frank Norris
27.txt	Far from the Madding Crowd	1992	Thomas Hardy
270.txt	Dream Days	2008	Kenneth Grahame
271.txt	Black Beauty	2006	Anna Sewell
272.txt	An Open Letter on Translating	2008	Gary Mann
273.txt	The Smalcald Articles	1995	Martin Luther
274.txt	Martin Luther's 95 Theses	2008	Martin Luther
275.txt	The Confession of Faith	2008	Unknown
276.txt	One Hundred Fourth Symphony, in D-major	1995	Franz Josef Haydn
277.txt	Trinity [Atomic Test] Site	2008	The National Atomic Museum
278.txt	Trinity [Atomic test] Site	1995	White Sands Missile Range Public Affairs Office
279.txt	Photos and Maps of Trinity (Atomic Test) Site	1995	United States Army
28.txt	Aesop's Fables	1992	Aesop
280.txt	Records of a Family of Engineers	2010	Robert Louis Stevenson
281.txt	Father Damien	2007	Robert Louis Stevenson
283.txt	The Reef	1995	Edith Wharton
284.txt	House of Mirth	2008	Edith Wharton
285.txt	The Lost Continent	2008	C. J. Cutcliffe Hyne
286.txt	Laddie	2008	Gene Stratton Porter
287.txt	Remember the Alamo	2008	Amelia E. Barr
288.txt	The Certain Hour	2008	James Branch Cabell
289.txt	The Wind in the Willows	1995	Kenneth Grahame
29.txt	Census of Population and Housing, 1990	1992	United States Bureau of the Census
290.txt	The Stark Munro Letters	1995	J. Stark Munro
291.txt	The Golden Age	2008	Kenneth Grahame
292.txt	Beauty and The Beast, and Tales From Home	2008	Bayard Taylor
293.txt	Paul Prescott's Charge	2006	Horatio Alger
295.txt	The Early Short Fiction of Edith Wharton, Part 1 (of 10)	1995	Edith Wharton
296.txt	The Cash Boy	2006	Horatio Alger Jr.
297.txt	The Flirt	2004	Booth Tarkington
298.txt	The Market-Place	2008	Harold Frederic
299.txt	Tales From Two Hemispheres	1995	Hjalmar Hjorth Boysen
30.txt	The Bible, King James Version, Complete	1992	Unknown
300.txt	United States Declaration of Independence	1995	Thomas Jefferson
301.txt	The Ballad of Reading Gaol	1995	Oscar Wilde
302.txt	The Fibonacci Number Series	1995	Michael Husted
303.txt	HomeBrew HomePages Put YOU on the World Wide Web	2015	Unknown
304.txt	Rio Grande's Last Race and Other Verses	1995	Andrew Barton 'Banjo' Paterson
305.txt	The Count's Millions	2008	Emile Gaboriau
306.txt	The Early Short Fiction of Edith Wharton,  Part 2 (of 10)	1995	Edith Wharton
307.txt	Three Elephant Power	2008	Andrew Barton 'Banjo' Paterson
308.txt	Three Men in a Boat	2010	Jerome K. Jerome
309.txt	Rhymes of a Rolling Stone	1995	Robert W. Service
31.txt	The Oedipus Trilogy	2006	Sophocles
310.txt	Before Adam	1995	Jack London
311.txt	Bunner Sisters	2008	Edith Wharton
312.txt	Young Adventure	1995	Stephen Vincent Benet
313.txt	The Children of the Night	2008	Edwin Arlington Robinson
314.txt	Guide to Life and Literature of the Southwest	1995	J. Frank Dobie
315.txt	Rhymes of a Red Cross Man	1995	Robert W. Service
316.txt	The Golden Road	2008	Lucy Maud Montgomery
317.txt	The Culprit Fay	2007	Joseph Rodman Drake
318.txt	John Barleycorn	2008	Jack London
32.txt	Herland	1992	Charlotte Perkins Stetson Gilman
321.txt	Moran of the Lady Letty	2008	Frank Norris
322.txt	St. Ives	2010	Robert Louis Stevenson
323.txt	Verses 1889-1896	2008	Rudyard Kipling
324.txt	A Knight of the Cumberland	2008	John Fox Jr.
326.txt	Steep Trails	1995	John Muir
327.txt	The Princess Aline	2008	Richard Harding Davis
328.txt	A Heap o' Livin'	2008	Edgar A. Guest
33.txt	The Scarlet Letter	1992	Nathaniel Hawthorne
330.txt	Where There's A Will	2006	Mary Roberts Rinehart
331.txt	The Mucker	1995	Edgar Rice Burroughs
332.txt	The Burial of the Guns	2008	Thomas Nelson Page
333.txt	Robert Louis Stevenson	2007	Walter Raleigh
334.txt	Episodes in Van Bibber's Life	2008	Richard Harding Davis
335.txt	Frances Waldeaux	2008	Rebecca Harding Davis
336.txt	Indian Heroes and Great Chieftains	2008	Charles A. Eastman
337.txt	Indian Boyhood	2008	Charles A. Eastman
338.txt	Old Indian Legends	2008	Zitkala-Sa
339.txt	Old Indian Days	2008	Charles A. Eastman
34.txt	Zen and the Art of the Internet	1992	Brendan P. Kehoe
340.txt	The Soul of the Indian	2008	Charles A. Eastman
341.txt	Myths and Legends of the Sioux	1995	Marie L. McLaughlin
342.txt	Margaret Ogilvy	2010	J. M. Barrie
343.txt	Fables	2007	Robert Louis Stevenson
344.txt	The Merry Men	2007	Robert Louis Stevenson
345.txt	Dracula	2013	Bram Stoker
346.txt	The Troll Garden and Selected Stories	1995	Willa Cather
347.txt	Grettir The Strong	2008	Unknown
348.txt	Hesiod, The Homeric Hymns, and Homerica	2008	Homer;Hesiod
349.txt	The Harvester	1995	Gene Stratton Porter
35.txt	The Time Machine	2004	H. G. (Herbert George) Wells
350.txt	Fanny Herself	2008	Edna Ferber
351.txt	Of Human Bondage	2008	W. Somerset Maugham
352.txt	Buttered Side Down	2008	Edna Ferber
353.txt	In Flanders Fields and Other Poems	2008	John McCrae
354.txt	The Story of a Pioneer	1995	Anna Howard Shaw
355.txt	The Parasite	2008	Arthur Conan Doyle
356.txt	Beyond the City	2008	Arthur Conan Doyle
357.txt	A Dream of John Ball, A King's Lesson	2008	William Morris
358.txt	The Scarlet Car	2008	Richard Harding Davis
359.txt	Good Stories For Great Holidays	1995	Frances Jenkins Olcott
360.txt	What is Property?	1995	P. J. Proudhon
361.txt	Miss Billy Married	2008	Eleanor H. Porter
362.txt	Miss Billy's Decision	2008	Eleanor H. Porter
363.txt	The Oakdale Affair	2008	Edgar Rice Burroughs
364.txt	The Mad King	2004	Edgar Rice Burroughs
365.txt	The Land of Little Rain	2008	Mary Austin
366.txt	Bab: A Sub-Deb	1995	Mary Roberts Rinehart
367.txt	The Country of the Pointed Firs	2008	Sarah Orne Jewett
368.txt	Acres of Diamonds	2008	Russell H. Conwell
369.txt	The Outlaw of Torn	2008	Edgar Rice Burroughs
37.txt	Census of Population and Housing, 1990 [2nd]	1992	United States Bureau of the Census
370.txt	The Fortunes and Misfortunes of the Famous Moll Flanders &c.	2008	Daniel Defoe
371.txt	Literary Blunders	1995	Henry Benjamin Wheatley
372.txt	Prince Otto	2010	Robert Louis Stevenson
373.txt	Lay Morals	2010	Robert Louis Stevenson
374.txt	Fantastic Fables	2007	Ambrose Bierce
375.txt	An Occurrence at Owl Creek	2008	Ambrose Bierce
376.txt	A Journal of the Plague Year	2006	Daniel Defoe
377.txt	Kansas Women in Literature	2008	Nettie Garmer Barker
378.txt	The White Knight: Tirant lo Blanc	1995	Joanot Martorell;Marti Johan d'Galba
379.txt	Worldly Ways and Byways	2007	Eliot Gregory
38.txt	The Jargon File, Version 2.9.10, 01 Jul 1992	1992	Unknown
380.txt	Weir of Hermiston	2010	Robert Louis Stevenson
381.txt	Memories and Portraits	2010	Robert Louis Stevenson
382.txt	Edinburgh	2010	Robert Louis Stevenson
383.txt	She Stoops to Conquer	1995	Oliver Goldsmith
384.txt	The Lost Prince	1996	Frances Hodgson Burnett
385.txt	The Redheaded Outfield and Other Baseball Stories	1996	Zane Grey
389.txt	The Great God Pan	1996	Arthur Machen
39.txt	Hitchhiker's Guide to the Internet	1992	Ed Krol
391.txt	The Song of Roland	1996	Unknown
392.txt	Jerusalem Delivered	1995	Torquato Tasso
396.txt	The Lady, or the Tiger?	1995	Frank R. Stockton
397.txt	L'Allegro, Il Penseroso, Comus, and Lycidas	1995	John Milton
398.txt	First Book of Adam and Eve	2008	Rutherford Platt
399.txt	Cast Upon the Breakers	2006	Horatio Alger
400.txt	Helen of Troy and Other Poems	1996	Sara Teasdale
401.txt	Blix	2008	Frank Norris
402.txt	Penrod	2006	Booth Tarkington
403.txt	Soldiers of Fortune	1996	Richard Harding Davis
404.txt	Industrial Biography	2008	Samuel Smiles
405.txt	Adventures and Letters	2008	Richard Harding Davis
406.txt	Appreciations of Richard Harding Davis	2008	Unknown
407.txt	The Reporter Who Made Himself King	2008	Richard Harding Davis
408.txt	The Souls of Black Folk	2008	W. E. B. Du Bois
409.txt	Religious and Moral Poems	1996	Phillis Wheatley
41.txt	The Legend of Sleepy Hollow	1992	Washington Irving
410.txt	Hell fer Sartain' and Other Stories	1996	John Fox, Jr.
411.txt	The King's Jackal	2008	Richard Harding Davis
412.txt	John Jacob Astor	1996	Elbert Hubbard
414.txt	The Pageant of Summer	2007	Richard Jefferies
416.txt	Winesburg, Ohio	2005	Sherwood Anderson
418.txt	A Treatise on Good Works	2008	Dr. Martin Luther
419.txt	The Magic of Oz	1996	L. Frank Baum
42.txt	Dr. Jekyll and Mr. Hyde	1992	Robert Louis Stevenson
420.txt	Dorothy and the Wizard in Oz	1996	L. Frank Baum.
421.txt	Kidnapped	2006	Robert Louis Stevenson
422.txt	The Romany Rye	2007	George Borrow
423.txt	Round the Red Lamp	2008	Arthur Conan Doyle
424.txt	General William Booth enters into Heaven and other Poems	1995	Vachel Lindsay
427.txt	The Great War Syndicate	2008	Frank Stockton
428.txt	Frivolous Cupid	1996	Anthony Hope
429.txt	The Magic Egg and Other Stories	2008	Frank Stockton
430.txt	The Grain Of Dust	2004	David Graham Phillips
431.txt	The Fortune Hunter	1996	David Graham Phillips
432.txt	The Ambassadors	1996	Henry James
433.txt	The Conflict	1996	David Graham Phillips
434.txt	The Circular Staircase	1996	Mary Roberts Rinehart
436.txt	The Master Key	1996	L. Frank Baum
437.txt	The Life of Lazarillo of Tormes, Parts One and Two	1995	Lazarillo of Tormes
439.txt	The Vital Message	1996	Arthur Conan Doyle
44.txt	Song of the Lark	1992	Willa Cather
440.txt	Just David	1996	Eleanor H. Porter
442.txt	Love Songs	1996	Sara Teasdale
443.txt	The Love Affairs of a Bibliomaniac	1996	Eugene Field
446.txt	A Book of Remarkable Criminals	1996	H. B. Irving
447.txt	Maggie: A Girl of the Streets	1996	Stephen Crane
45.txt	Anne of Green Gables	1992	Lucy Maud Montgomery
450.txt	Susan Lenox: Her Fall and Rise	2006	David Graham Phillips
451.txt	The Shadow-Line	2006	Joseph Conrad
452.txt	Lavengro	2006	George Borrow
453.txt	Emma McChesney & Co.	1996	Edna Ferber
455.txt	The University of Hard Knocks	1996	Ralph Parlette
456.txt	The Door in the Wall And Other Stories	2005	H. G. Wells
457.txt	The Price She Paid	1996	David Graham Phillips
458.txt	Dreams and Dust	1996	Don Marquis
459.txt	The White People	2006	Frances Hodgson Burnett
46.txt	A Christmas Carol	2004	Charles Dickens
460.txt	The Dawn of a To-morrow	1996	Frances Hodgson Burnett
461.txt	The Quest of the Golden Girl	1996	Richard le Gallienne
462.txt	The Errand Boy	2006	Horatio Alger
463.txt	The Red Badge of Courage	1996	Stephen Crane
465.txt	The Mountains	1996	Stewart Edward White
466.txt	The Gaming Table:  Its Votaries and Victims	1996	Andrew Steinmetz
467.txt	The Princess of Cleves	1996	Madame de Lafayette
469.txt	The Duchesse de Langeais	1996	Honore de Balzac
47.txt	Anne Of Avonlea	2006	Lucy Maud Montgomery
470.txt	Heretics	1996	Gilbert K. Chesterton
471.txt	Bride of Lammermoor	2006	Sir Walter Scott
472.txt	The House Behind the Cedars	1996	Charles W. Chesnutt
473.txt	Stories to Tell to Children	1996	Sara Cone Bryant
474.txt	How to Tell Stories to Children	2005	Sara Cone Bryant
478.txt	The Cost	1996	David Graham Phillips
479.txt	Little Lord Fauntleroy	2006	Frances Hodgson Burnett
48.txt	The 1992 CIA World Factbook	1993	United States.  Central Intelligence Agency.
480.txt	Undo	1996	Joe Hutsko
481.txt	In the Bishop's Carriage	1996	Miriam Michelson
482.txt	The Woodlanders	1996	Thomas Hardy
483.txt	The Conquest of Canaan	1996	Booth Tarkington
484.txt	Poor and Proud	1996	Oliver Optic
485.txt	The Road to Oz	1996	L. Frank Baum
486.txt	Ozma of Oz	1996	L. Frank Baum
487.txt	Songs of Travel	2009	Robert Louis Stevenson
488.txt	She Stands Accused	1996	Victor MacClure
489.txt	One Basket	1996	Edna Ferber
49.txt	Surfing the Internet	1993	Jean Armour Polly
490.txt	Life and Adventures of Calamity Jane	1996	Calamity Jane
491.txt	Rezanov	1996	Gertrude Atherton
493.txt	Falk	1996	Joseph Conrad
494.txt	To-morrow	1996	Joseph Conrad
495.txt	Amy Foster	1996	Joseph Conrad
496.txt	The Little Lame Prince	2006	Miss Mulock--Pseudonym of Maria Dinah Craik
498.txt	Rebecca of Sunnybrook Farm	1996	Kate Douglas Wiggin
499.txt	Tom Swift in the Land of Wonders	2002	Victor Appleton
5.txt	The United States' Constitution	1975	Founding Fathers
50.txt	Pi to 1,000,000 places	2008	Scott Hemphill
500.txt	The Adventures of Pinocchio	2006	C. Collodi--Pseudonym of Carlo Lorenzini
502.txt	Desert Gold	1996	Zane Grey
503.txt	The Blue Fairy Book	1996	Unknown
504.txt	The Fifth String, The Conspirators	1996	John Philip Sousa
505.txt	History of the Warfare of Science with Theology in Christendom	1996	Andrew Dickson White
506.txt	The Shuttle	2006	Frances Hodgson Burnett
507.txt	Adam Bede	2006	George Eliot
508.txt	Twice-Told Tales	1996	Nathaniel Hawthorne
509.txt	The Purcell Papers	2008	Joseph Sheridan Le Fanu
51.txt	Anne Of The Island	2006	Lucy Maud Montgomery
510.txt	The Purcell Papers	2008	Joseph Sheridan Le Fanu
511.txt	The Purcell Papers	2008	Joseph Sheridan Le Fanu
512.txt	Mosses from an Old Manse and Other Stories	1996	Nathaniel Hawthorne
513.txt	The Snow Image	1996	Nathaniel Hawthorne
514.txt	Little Women	1996	Louisa May Alcott
515.txt	Margret Howth, A Story of To-day	1996	Rebecca Harding Davis
517.txt	The Emerald City of Oz	1996	L. Frank Baum
518.txt	The Enchanted Island of Yew	1996	L. Frank Baum
519.txt	A Kidnapped Santa Claus	1996	L. Frank Baum
52.txt	The Square Root of 2	2008	Stan Kerr
520.txt	The Life and Adventures of Santa Claus	1996	L. Frank Baum
521.txt	The Life and Adventures of Robinson Crusoe	2010	Daniel Defoe
522.txt	The Chinese Boy and Girl	1996	Isaac Taylor Headland
523.txt	Court Life in China	1996	Isaac Taylor Headland
524.txt	Ann Veronica	2006	H. G. Wells
525.txt	Youth	1996	Joseph Conrad
526.txt	Heart of Darkness	2006	Joseph Conrad
527.txt	End of the Tether	2006	Joseph Conrad
528.txt	Joe The Hotel Boy	2006	Horatio Alger Jr.
529.txt	Knights of Art	1996	Amy Steedman
53.txt	LOC Workshop on Electronic Texts	1993	Library of Congress
530.txt	Driven From Home	2006	Horatio Alger
531.txt	The Gaming Table:  Its Votaries and Victims	1996	Andrew Steinmetz
532.txt	At the Foot of the Rainbow	1996	Gene Stratton-Porter
533.txt	The Song of the Cardinal	1996	Gene Stratton-Porter
535.txt	Travels with a Donkey in the Cevennes	2004	Robert Louis Stevenson
536.txt	A Footnote to History	2005	Robert Louis Stevenson
537.txt	Tales of Terror and Mystery	1996	Arthur Conan Doyle
538.txt	Jean of the Lazy A	1996	B. M. Bower
54.txt	The Marvellous Land of Oz	1993	L. Frank Baum
540.txt	The Red Fairy Book	1996	Unknown
541.txt	The Age of Innocence	1996	Edith Wharton
542.txt	The Life of Me	1996	Clarence Edgar Johnson
543.txt	Main Street	2006	Sinclair Lewis
544.txt	Anne's House of Dreams	1996	Lucy Maud Montgomery
545.txt	At the Earth's Core	1996	Edgar Rice Burroughs
546.txt	Under the Andes	1996	Rex Stout
547.txt	Baron Trigault's Vengeance	2008	Emile Gaboriau
548.txt	Project Trinity 1945-1946	1996	Carl Maag;Steve Rohrer
549.txt	The Underdogs	1996	Mariano Azuela
55.txt	The Wonderful Wizard of Oz	2008	L. Frank Baum
550.txt	Silas Marner	1996	George Eliot
552.txt	The People that Time Forgot	1996	Edgar Rice Burroughs
553.txt	Out of Time's Abyss	1996	Edgar Rice Burroughs
554.txt	The Contrast	1996	Royall Tyler
556.txt	Rewards and Fairies	1996	Rudyard Kipling
557.txt	Puck of Pook's Hill	1996	Rudyard Kipling
558.txt	The Thirty-nine Steps	1996	John Buchan
559.txt	Greenmantle	1996	John Buchan
56.txt	NREN for All: Insurmountable Opportunity	1993	Jean Armour Polly
560.txt	Mr. Standfast	1996	John Buchan
561.txt	The Further Adventures of Robinson Crusoe	2007	Daniel Defoe
562.txt	Go Ahead Boys and the Racing Motorboat	1996	Ross Kay
563.txt	The Planet Mars and its Inhabitants	2008	Eros Urides;J. L. Kennon
564.txt	The Mystery of Edwin Drood	2010	Charles Dickens
57.txt	Aladdin and the Magic Lamp	2008	Unknown
570.txt	The Moravians in Georgia	1996	Adelaide L. Fries
571.txt	The 1995 CIA World Factbook	1996	United States Central Intelligence Agency
572.txt	The Great Big Treasury of Beatrix Potter	1996	Beatrix Potter
573.txt	Tales from Shakespeare	1996	Charles;Mary Lamb
574.txt	Poems of William Blake	1996	William Blake
575.txt	Essays	1996	Francis Bacon
578.txt	Down with the Cities	1996	Tadashi Nakashima
58.txt	Paradise Regained	2008	John Milton
581.txt	Ginx's Baby	1996	Edward Jenkins
582.txt	A Collection of Beatrix Potter Stories	1996	Beatrix Potter
583.txt	The Woman in White	1996	Wilkie Collins
584.txt	Our nig	1996	Harriet E. Wilson
585.txt	Running a Thousand Miles for Freedom	1996	William;Ellen Craft
587.txt	Danny's Own Story	1996	Don Marquis
590.txt	Robert Louis Stevenson	2007	Alexander H. Japp
591.txt	Flame and Shadow	1996	Sara Teasdale
592.txt	Chinese Nightingale	1996	Vachel Lindsay
593.txt	Selected Writings of Guy de Maupassant	1996	Guy de Maupassant
594.txt	Twilight Stories	1996	Unknown
595.txt	The Sisters' Tragedy	1996	Thomas Bailey Aldrich
596.txt	Rivers to the Sea	1996	Sara Teasdale
597.txt	Njal's Saga	2004	Unknown Icelanders
598.txt	Heimskringla	1996	Snorri Sturlason
599.txt	Vanity Fair	1996	William Makepeace Thackeray
60.txt	The Scarlet Pimpernel	2006	Baroness Orczy
600.txt	Notes from the Underground	1996	Feodor Dostoevsky
601.txt	The Monk; a romance	1996	M. G. Lewis
602.txt	Pharsalia; Dramatic Episodes of the Civil Wars	1996	Lucan
603.txt	Letters of George Borrow	2007	George Borrow
604.txt	Gulliver of Mars	1996	Edwin L. Arnold
605.txt	Pellucidar	1996	Edgar Rice Burroughs
606.txt	Indian Why Stories	1996	Frank Bird Linderman
607.txt	The Augsberg Confession	1996	Philip Melancthon
608.txt	Areopagitica	2006	John Milton
609.txt	America Through the Spectacles of an Oriental Diplomat	1996	Wu Tingfang
61.txt	The Communist Manifesto	2005	Karl Marx;Friedrich Engels
610.txt	Idylls of the King	1996	Alfred, Lord Tennyson
612.txt	The Constitution of Japan, 1946	1996	Japan
613.txt	The Constitution of the Empire of Japan, 1889	1996	Japan
615.txt	Orlando Furioso	1996	Lodovico Ariosto
617.txt	Poems	2008	Alan Seeger
618.txt	Codex Junius 11	1996	Unknown
619.txt	The Warden	1996	Anthony Trollope
62.txt	A Princess of Mars	2008	Edgar Rice Burroughs
620.txt	Sylvie and Bruno	1996	Lewis Carroll
623.txt	The Battle of the Books	2007	Jonathan Swift
624.txt	Looking Backwards from 2000 to 1887	1996	Edward Bellamy
625.txt	Ponkapog Papers	2006	Thomas Bailey Aldrich
626.txt	The Philobiblon of Richard de Bury	1996	Richard de Bury
627.txt	Essays of Travel	2010	Robert Louis Stevenson
628.txt	The Square Root of 3	2008	Robert Nemiroff;Jerry Bonnell
629.txt	The Square Root of 5	2008	Robert Nemiroff;Jerry Bonnell
63.txt	The Number "e"	2008	Unknown
630.txt	The Square Root of 6	2008	Robert Nemiroff;Jerry Bonnell
631.txt	The Square Root of 7	2008	Robert Nemiroff;Jerry Bonnell
632.txt	The Square Root of 8	2008	Robert Nemiroff;Jerry Bonnell
633.txt	The Golden Mean or Ratio [(1+sqrt(5))/2]	1996	Unknown
634.txt	Miscellaneous Mathematical Constants	1996	Unknown
635.txt	The Square Root of 10	2008	Robert Nemiroff;Jerry Bonnell
636.txt	Memoirs of Extraordinary Popular Delusions	1996	Charles Mackay
638.txt	An Outcast of the Islands	2006	Joseph Conrad
639.txt	The God-Idea of the Ancients	1996	Eliza Burt Gamble
64.txt	The Gods of Mars	2008	Edgar Rice Burroughs
640.txt	The Yellow Fairy Book	1996	Unknown
641.txt	The Violet Fairy Book	1996	Unknown
642.txt	The Altar of the Dead	2010	Henry James
643.txt	The Death of the Lion	2010	Henry James
645.txt	The Figure in the Carpet	2013	Henry James
646.txt	The Coral Island	2007	R. M. Ballantyne
647.txt	The Dynamiter	2011	Robert Louis Stevenson
648.txt	Wild Wales	2008	George Borrow
65.txt	The First 100,000 Prime Numbers	2008	Unknown
655.txt	Life and Letters of Robert Browning	2006	Mrs. Sutherland Orr
657.txt	The Anglo-Saxon Chronicle	1996	Unknown
658.txt	The Fall of Troy	1996	Smyrnaeus Quintus
659.txt	Paul the Peddler	2006	Horatio Alger, Jr.
66.txt	The Dawn of Amateur Radio in the U.K. and Greece	2008	Norman F. Joly
67.txt	The Black Experience in America	2008	Norman Coombs
671.txt	Phil the Fiddler	2006	Horatio Alger, Jr.
677.txt	The Heroes	2011	Charles Kingsley
679.txt	Poems	1996	Frances E. W. Harper
68.txt	Warlord of Mars	1993	Edgar Rice Burroughs
680.txt	The Golden Threshold	1996	Sarojini Naidu
681.txt	Creatures that once were Men	1996	Maxim Gorky
682.txt	Catalan's Constant [Ramanujan's Formula]	1996	Greg Fee
684.txt	Worldwide Effects of Nuclear War: Some Perspectives	1996	United States Arms Control and Disarmament Agency
685.txt	The Atomic Bombings of Hiroshima and Nagasaki	1996	United States
686.txt	The Treaty of the European Union, Maastricht Treaty, 7th February, 1992	1996	European Union
687.txt	A Personal Record	2006	Joseph Conrad
688.txt	The Goodness of St. Rocque and Other Stories	1996	Alice Dunbar
689.txt	The Kreutzer Sonata and Other Stories	2006	Leo Tolstoi
69.txt	The 32nd Mersenne Prime	2008	David Slowinski
693.txt	The Autobiography of a Quack And The Case Of George Dedlow	2006	S. Weir Mitchell
697.txt	The Light Princess	1996	George MacDonald
699.txt	A Child's History of England	2007	Charles Dickens
700.txt	The Old Curiosity Shop	2008	Charles Dickens
701.txt	The King of the Golden River	1996	John Ruskin.
702.txt	Somebody's Little Girl	2008	Martha Young
703.txt	Lucasta	1996	Richard Lovelace
704.txt	The Mansion	1996	Henry Van Dyke
706.txt	The Amateur Cracksman	1996	E. W. Hornung
707.txt	Raffles	1996	E. W. Hornung
708.txt	The Princess and the Goblin	1996	George MacDonald
709.txt	The Princess and the Curdie	1996	George MacDonald
71.txt	On the Duty of Civil Disobedience	2004	Henry David Thoreau
710.txt	Love of Life	2007	Jack London
711.txt	Allan Quatermain	2004	H. Rider Haggard
712.txt	Thomas Jefferson	2006	Edward S. Ellis et. al.
713.txt	Memoirs of Extraordinary Popular Delusions	2008	Charles Mackay
714.txt	The Bobbsey Twins in the Country	1996	Laura Lee Hope
715.txt	The Moon Endureth--Tales and Fancies	2008	John Buchan
716.txt	The Cruise of the Jasper B.	1996	Don Marquis
717.txt	Chita: A Memory of Last Island	1996	Lafcadio Hearn
718.txt	Tono Bungay	2006	H. G. Wells
72.txt	Thuvia, Maid of Mars	1993	Edgar Rice Burroughs
720.txt	Almayer's Folly	2006	Joseph Conrad
721.txt	The Birds' Christmas Carol	1996	Kate Douglas Wiggin
723.txt	Henry James, Jr.	1996	William Dean Howells
724.txt	The Man of Letters as a Man of Business	1996	William Dean Howells
725.txt	Men of Invention and Industry	1996	Samuel Smiles
726.txt	A Psychological Counter-current in Recent Fiction	1996	William Dean Howells
727.txt	The Star-Spangled Banner	1996	John A. Carpenter
728.txt	Emile Zola	1996	William Dean Howells
729.txt	Hackers, Heroes of the Computer Revolution	1996	Stephen Levy
73.txt	The Red Badge of Courage	2008	Stephen Crane
730.txt	Oliver Twist	1996	Charles Dickens
731.txt	The History of The Decline and Fall of the Roman Empire	1996	Edward Gibbon
